"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"R42";"100";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"R43";"100K";"0.3OHM-0805-1/8W-1%";"0805";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"S1";"RST";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";
"S2";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S3";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S4";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S5";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S6";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S7";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S8";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S9";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S10";"L";"MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE-KIT";"TACTILE_SWITCH_PTH_RIGHT_ANGLE_KIT";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"CONN-10672";"";"COM-10791";"";
"S11";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"S12";"R";"MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE-KIT";"TACTILE_SWITCH_PTH_RIGHT_ANGLE_KIT";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"CONN-10672";"";"COM-10791";"";
"S13";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"";"";"";"";"SWCH-10651";"";"COM-10860";"";
"T1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"T2";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"T3";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
